PROJECT NAME, INSTANCE NAME , ZONE
lt-dia-aimlcoe-dis-upr,lt-dia-aimlcoe-dis-upr-dev-m,northamerica-northeast1-b
lt-dia-aimlcoe-dis-upr,lt-dia-aimlcoe-dis-upr-dev-w-0,northamerica-northeast1-b
lt-dia-aimlcoe-dis-upr,lt-dia-aimlcoe-dis-upr-dev-w-1,northamerica-northeast1-b
lt-dia-aimlcoe-dis-upr,lt-dia-aimlcoe-dis-upr-dev-w-2,northamerica-northeast1-b
lt-dia-aml-dis-upr,vlamlupr001,northamerica-northeast1-a
lt-dia-analytics-exp-cfs,ppl-analytics-notebook,northamerica-northeast1-b
lt-dia-analytics-exp-flyeng,instance-1,northamerica-northeast1-b
lt-dia-analytics-exp-jfeco,connector-instance,northamerica-northeast1-a
lt-dia-analytics-exp-lmedia,loyaltytool-poc,northamerica-northeast1-a
lt-dia-analytics-exp-mdo,dia-exp-mdo-aiplatformexp001,northamerica-northeast1-a
lt-dia-analytics-exp-mdo,dia-exp-mdo-computeexp001,northamerica-northeast1-b
lt-dia-analytics-exp-mdor,python-20210527-101439,northamerica-northeast1-b
lt-dia-analytics-exp-mdor,python-20210719-103918,northamerica-northeast1-b
lt-dia-analytics-prd-cfs,ppl-analytics-notebook,northamerica-northeast1-b
lt-dia-analytics-sd-exp-spo,spo-exp-notebook,northamerica-northeast1-a
lt-dia-analytics-se-exp-jfeco,vljfecoexp001,northamerica-northeast1-b
lt-dia-analytics-se-prd-jfeco,vljfecoprd001,northamerica-northeast1-b
lt-dia-analytics-se-prd-spo,vlsepo001,northamerica-northeast1-b
lt-dia-analytics-se-prd-spo,vwsepo001,northamerica-northeast1-b
lt-dia-analytics-se-spo,vlsepo001,northamerica-northeast1-b
lt-dia-analytics-se-spo,vwsepo001,northamerica-northeast1-b
lt-dia-analytics-se-stg-spo,vwsespostaging001,northamerica-northeast1-b
lt-dia-analytics-se-val-jfeco,vljfecoval001,northamerica-northeast1-b
lt-dia-analytics-se-val-spo,vlsepo001,northamerica-northeast1-b
lt-dia-analytics-se-val-spo,vwsepo001,northamerica-northeast1-b
lt-dia-analytics-val-cfs,ppl-analytics-notebook,northamerica-northeast1-b
lt-dia-analytics-val-hdps,beam-20230512-123411,northamerica-northeast1-b
lt-dia-analytics-val-mdo,dia-val-mdo-computeval001,northamerica-northeast1-b
lt-dia-analytics-val-shrink,testinstance,northamerica-northeast1-a
lt-dia-apa-dis-upr-1,vlapapr001,northamerica-northeast1-a
lt-dia-bci-dis-upr,bci-dis-upr-notebook,northamerica-northeast1-a
lt-dia-bit-dis-upr,scadev-ai-notebook,northamerica-northeast1-a
lt-dia-bitools-exp,vwqlkex001,northamerica-northeast1-a
lt-dia-bitools-exp,vwqlkex002,northamerica-northeast1-c
lt-dia-bitools-exp,vwqlkex003,northamerica-northeast1-c
lt-dia-bitools-sbx,vwqlkdv001,northamerica-northeast1-a
lt-dia-bitools-sbx,vwqlkdv002,northamerica-northeast1-a
lt-dia-bitools-sbx,vwqlkdv003,northamerica-northeast1-a
lt-dia-bitools-sbx,vwqlkdv004,northamerica-northeast1-a
lt-dia-bitools-sbx,vwqlkdv005,northamerica-northeast1-c
lt-dia-bitools-sbx,vwqlkdv006,northamerica-northeast1-c
lt-dia-bitools-upr,vwqlkpr001,northamerica-northeast1-a
lt-dia-bitools-upr,vwqlkpr004,northamerica-northeast1-a
lt-dia-bitools-upr,vwqlkpr005,northamerica-northeast1-a
lt-dia-bitools-upr,vwqlkpr008,northamerica-northeast1-a
lt-dia-bitools-upr,vwqlkpr009,northamerica-northeast1-a
lt-dia-bitools-upr,vwqlkpr010,northamerica-northeast1-a
lt-dia-bitools-upr,vwqlkpr002,northamerica-northeast1-b
lt-dia-bitools-upr,vwqlkpr006,northamerica-northeast1-b
lt-dia-bitools-upr,vwqlkpr003,northamerica-northeast1-c
lt-dia-bitools-upr,vwqlkpr007,northamerica-northeast1-c
lt-dia-bitools-val,vwqlkva001,northamerica-northeast1-a
lt-dia-bitools-val,vwqlkva002,northamerica-northeast1-a
lt-dia-bitools-val,vwqlkva003,northamerica-northeast1-a
lt-dia-bitools-val,vwqlkva004,northamerica-northeast1-c
lt-dia-da-dis-lwr,nbdiapt002,northamerica-northeast1-a
lt-dia-health-dis-rd,healthdisrd001,northamerica-northeast1-a
lt-dia-lake-exp,vllakpr001,northamerica-northeast1-a
lt-dia-lake-exp,vllakpr002,northamerica-northeast1-a
lt-dia-lake-exp,vllakrstpr001,northamerica-northeast1-a
lt-dia-lake-exp-rdm,mig-rdm-web-exp-262p,northamerica-northeast1-b
lt-dia-lake-exp-techcompute,cdf-sql-test,northamerica-northeast1-a
lt-dia-lake-exp-techcompute,kafkavm,northamerica-northeast1-b
lt-dia-lake-prd-rdm,mig-rdm-prd-web-app-001-tff0,northamerica-northeast1-b
lt-dia-lake-prd-techcompute,vwdba001,northamerica-northeast1-b
lt-dia-lake-prod,vllakpr003,northamerica-northeast1-a
lt-dia-lake-prod,vlabival003,northamerica-northeast1-b
lt-dia-lake-val,vllakpr002,northamerica-northeast1-a
lt-dia-lma-dis-upr,vmlmaupr001,northamerica-northeast1-b
lt-dia-loyaltytool-sbx,vlloyaltysbx001,northamerica-northeast1-b
lt-dia-mkt-dis-sbx,vlmktsbx002,northamerica-northeast1-a
lt-dia-pch-dis-upr,vlpchuprjhubupr001,northamerica-northeast1-b
lt-dia-pdl-dis-upr,vlpdlupr001,northamerica-northeast1-a
lt-dia-pdl-dis-upr,vwpdlupr001,northamerica-northeast1-a
lt-dia-playground-sb,tensorflow-2-3-20201202-100640,northamerica-northeast1-a
lt-dia-pmoto-dis-upr,shubham-m-no-idle-deletion-m,northamerica-northeast1-b
lt-dia-pmoto-dis-upr,shubham-m-no-idle-deletion-w-0,northamerica-northeast1-b
lt-dia-pmoto-dis-upr,shubham-m-no-idle-deletion-w-1,northamerica-northeast1-b
lt-dia-pmoto-dis-upr,shubham-m-no-idle-deletion-w-2,northamerica-northeast1-b
lt-dia-pmoto-dis-upr,shubham-m-no-idle-deletion-w-3,northamerica-northeast1-b
lt-dia-poc,vlxjhubdev001,northamerica-northeast1-a
lt-dia-poc,vwjhubdev001,northamerica-northeast1-a
lt-dia-pop-dis-upr,vlpopbas001,northamerica-northeast1-a
lt-dia-pop-dis-upr,vlpoppr001,northamerica-northeast1-a
lt-dia-pop-dis-upr,vlpoppr002,northamerica-northeast1-a
lt-dia-pop-dis-upr,vlpoppr003,northamerica-northeast1-a
lt-dia-pop-dis-upr,vlpoppr004,northamerica-northeast1-a
lt-dia-pop-dis-upr,vlpopprd001,northamerica-northeast1-b
lt-dia-pow-dis-lwr,vwpowlwr001,northamerica-northeast1-b
lt-dia-ppl-dis-upr,hranalytics-ai-notebook,northamerica-northeast1-a
lt-dia-ppt-dis-upr,vlpptpr001,northamerica-northeast1-a
lt-dia-ppt-dis-upr,vlpptpr002,northamerica-northeast1-a
lt-dia-ppt-dis-upr,vlpptpr003,northamerica-northeast1-a
lt-dia-ppt-dis-upr,vlpptpr004,northamerica-northeast1-a
lt-dia-ppt-dis-upr,vlpptpr005,northamerica-northeast1-a
lt-dia-scr-dis-upr,diascrdp001-m,northamerica-northeast1-b
lt-dia-scr-dis-upr,diascrdp001-w-0,northamerica-northeast1-b
lt-dia-scr-dis-upr,diascrdp001-w-1,northamerica-northeast1-b
lt-dia-solutions-delivery-poc,model-ops-model-supervised,northamerica-northeast1-b
lt-dia-tools-exp,vlatlex001,northamerica-northeast1-a
lt-dia-tools-exp,vledcex002,northamerica-northeast1-a
lt-dia-tools-exp,vlidqex002,northamerica-northeast1-a
lt-dia-tools-exp,vlmdmex001,northamerica-northeast1-a
